"R17"	"R27"	"R20"	"R25"	"R19"	"R16"	"R13"	"R2"	"R26"	"R10"	"R28"	"R15"	"R24"	"R11"	"R21"	"R22"	"R1"	"R23"	"R14"	"R18"	"R29"	"R12"	"R41"	"R35"	"R34"	"R3"	"R32"	"R37"	"R48"	"R39"	"R4"	"R44"	"R38"	"R43"	"R30"	"R45"	"R40"	"R33"	"R42"	"R31"	"R46"	"R49"	"R36"	"R47"	"R54"	"R64"	"R57"	"R68"	"R53"	"R67"	"R61"	"R5"	"R52"	"R60"	"R51"	"R59"	"R65"	"R62"	"R66"	"R69"	"R55"	"R63"	"R56"	"R50"	"R58"	"R6"	"R72"	"R7"	"R77"	"R76"	"R79"	"R73"	"R71"	"R9"	"R70"	"R75"	"R74"	"R8"	"R80"	"R78"
"A16S|RequiresSNPConfirmation"	38057	165994	236681	26346	54276	173653	107424	75086	51680	140579	80659	79012	97419	90414	172487	108872	147435	114573	20240	73142	5469	10650	107265	87570	69078	63244	107576	92014	27900	101148	51152	129401	75697	154975	16233	63904	52977	173770	149051	34351	40839	118306	69303	65589	125412	42475	129477	63170	68430	200301	65384	72226	116900	43723	49999	105891	73824	56285	93121	137528	156692	132979	50136	33729	111738	100119	96729	57007	162635	305270	87	153303	118199	85048	123099	70597	80867	86358	291	31954
"AAC2-PRIME"	54	96	346	54	26	184	74	54	32	40	80	40	100	104	92	86	122	208	195	88	4	24	148	92	68	112	134	56	24	108	70	298	84	112	30	62	96	146	211	24	52	78	92	60	146	26	108	56	2	352	62	72	84	54	30	116	50	66	66	202	144	78	56	29	54	78	148	66	162	232	0	138	106	86	63	66	76	82	6	37
"AAC3"	228	850	2011	130	182	1000	388	638	173	382	312	318	404	582	698	586	678	1123	1113	630	18	60	626	502	396	392	763	692	169	424	689	2217	612	947	104	265	409	1009	1574	100	246	844	441	315	1016	313	443	264	290	992	386	459	563	334	296	365	369	242	576	885	902	590	212	186	282	520	706	484	874	1466	2	1121	551	364	550	336	369	626	10	431
"AAC3-PRIME"	2	0	5	0	6	12	12	4	8	2	4	10	2	11	6	14	8	2	5	6	0	0	6	6	6	4	0	0	6	18	17	4	2	21	2	0	0	4	14	2	8	17	14	2	8	0	8	4	0	0	2	4	2	4	2	0	6	6	10	10	1	4	0	0	2	12	6	20	8	41	0	6	9	12	2	12	4	4	0	0
"AAC6-PRIME"	398	1085	4821	202	417	2436	790	853	381	1003	758	513	815	1234	1776	1039	1258	2398	1304	1144	74	132	1468	752	714	672	800	1030	322	867	1089	2847	897	1420	211	492	968	1822	2546	235	427	2440	1051	611	2229	360	882	519	416	1805	1055	707	977	880	444	974	569	451	1413	2193	1465	1017	409	336	687	1605	968	711	1510	4112	6	1640	1048	660	1019	614	916	986	20	754
"ABAF"	8	8	46	0	4	38	12	54	10	10	8	18	10	60	100	14	24	72	2	22	6	2	28	12	12	4	14	4	4	24	8	6	2	46	0	6	116	148	44	2	6	30	18	4	18	22	16	6	10	12	56	2	12	18	8	10	20	4	28	30	195	16	14	10	6	44	16	12	66	186	0	8	28	26	128	12	24	16	0	0
"ABAQ"	0	9	89	2	8	28	6	8	12	1	4	12	20	19	125	12	28	31	2	8	0	0	47	2	6	6	0	8	2	14	10	9	2	10	4	8	0	12	23	9	8	8	4	8	20	13	14	15	0	8	12	4	12	14	9	6	4	10	29	20	30	10	8	0	4	36	8	6	40	90	0	4	26	4	14	14	28	21	0	38
"ABCA"	20	100	430	6	22	130	54	30	20	62	64	22	62	114	176	82	54	460	28	86	2	10	84	36	54	22	54	16	18	66	26	56	60	80	6	16	20	120	114	24	38	64	68	28	88	38	46	18	0	88	36	22	48	52	28	30	60	52	72	142	104	90	24	8	14	118	58	40	76	390	0	24	58	48	72	42	74	30	0	8
"ABEM"	0	0	109	0	4	38	6	32	4	0	16	4	8	26	161	12	20	54	4	8	0	2	46	0	4	6	8	4	4	2	14	28	6	20	3	14	2	88	40	0	2	8	10	4	22	0	4	0	0	2	6	0	10	4	15	8	0	0	14	20	114	10	4	2	2	18	4	8	35	108	0	0	28	14	60	22	0	15	0	0
"ABES"	4	0	28	0	4	12	2	0	6	6	0	4	0	6	14	2	2	4	0	8	0	2	10	6	4	0	2	2	4	8	6	0	0	2	2	0	0	6	6	0	4	0	20	2	30	0	4	4	0	10	2	2	4	4	8	2	0	0	8	10	4	12	2	2	2	14	0	4	8	36	0	0	0	0	14	0	6	6	0	0
