"","rh02","rh05","rh06","rh09","rh03","rh04","rh10","rh08","rh01","rh07"
"AAC3",2714,1434,3251,18,7236,1834,56,1065,64,780
"AAC6-PRIME",5508,2588,5979,14,995,1759,1209,3060,580,1534
"ACRA",1118,658,1318,4,1034,528,3802,576,232,356
"ACRB",1402,664,1632,0,1474,556,3706,613,288,362
"ACRD",2682,1546,3154,0,617,1032,892,1092,230,780
"ACRE",2,2,6,2,10,4,38,0,2,2
"ACRF",2818,1505,3215,96,676,920,17472,1560,1436,790
"ACRS",2972,1927,3459,38,3790,1473,9869,1640,837,913
"AMPC",572,350,708,0,714,258,1526,302,146,178
"AMPH",670,394,744,0,436,238,2570,372,236,180
"ANT3-DPRIME",970,650,1204,0,220,403,1163,284,78,276
"ANT6",59240,28630,58419,90333,14624,20203,55874,29895,6492,15243
"ANT9",17779,8418,16843,45098,4512,5809,25227,10816,2681,4475
"APH2-DPRIME",1397,570,1400,57111,260,390,31520,812,2752,236
"APH3-DPRIME",2664,1144,2616,22950,512,832,14056,1459,1216,578
"APH4",806,472,1068,2,1733,654,0,372,18,268
"APH6",634,420,812,0,426,390,4534,218,164,176
"ASMA",3221,1820,3619,10,3834,1576,9541,1632,814,891
"BACA",458,190,518,2,1072,240,15,230,14,130
"BAER",6339,3422,7116,3,2238,2186,2647,3387,545,1854
"BAES",3071,1772,3525,1,1318,1080,304,1516,196,936
"BCR",62,32,82,66,82,46,44,32,0,28
"BLAEC",2905,1599,3525,14,3356,1370,7800,1572,718,790
"BLE",1184,644,1312,0,2832,766,4,586,34,292
"BRP",1120,628,1268,0,2682,760,0,608,34,304
"CARB",12,16,16,4,2,6,16,4,0,12
"CATA",0,0,0,10,0,0,42,0,16,0
"CMEA",14483,6414,12485,10790,2876,3690,6508,7795,884,3580
"CMEB",210,66,150,782,40,44,578,124,70,46
"CMEC",37048,16686,34725,33661,5403,10212,20219,19552,2335,8922
"CMED",64833,29771,60949,78013,16473,21208,48670,37043,6086,16883
"CMEE",20110,7369,17757,15605,2864,5789,9129,6821,1051,4085
"CMEF",30120,12651,26463,42582,6359,8180,25318,17442,3106,7083
"CMER",26280,12291,24597,23338,5510,7174,12333,17324,1964,6733
"CMY",17,2,4,0,0,2,2,2,0,0
"CPXAR",2907,1439,3321,0,4072,1420,8896,1467,720,833
"CRP",1448,892,1710,4,1872,650,4600,853,398,438
"CTX",1,1,0,0,0,0,4,0,0,0
"DFRA",1472,680,1580,18,302,486,8335,486,172,356
"DHFR|RequiresSNPConfirmation",350,176,397,2,104,132,1418,122,50,86
"EMRA",6,2,0,0,4,0,16,0,2,2
"EMRB",690,389,850,6,368,246,3711,394,294,190
"EMRD",528,370,522,0,564,254,1962,254,144,170
"EMRK",2448,1338,2914,14,6525,1676,300,1264,80,754
"EMRR",1747,1042,2134,4,2771,882,5596,1073,562,584
"EMRY",1318,774,1606,2,1784,638,3772,756,340,438
