"MEG_ID"	"Broadclass"	"Class"	"Mechanism"	"Gene"
"1"	"MEG_7166"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETO"
"2"	"MEG_3259"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"HERA"
"3"	"MEG_5094"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"4"	"MEG_4324"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"OQXA"
"5"	"MEG_2282"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"6"	"MEG_6341"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"7"	"MEG_549"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"8"	"MEG_391"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACC"
"9"	"MEG_7712"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"VIM"
"10"	"MEG_835"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"11"	"MEG_7230"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETW"
"12"	"MEG_5261"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"13"	"MEG_6111"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB|RequiresSNPConfirmation"
"14"	"MEG_5956"	"Drugs"	"Fluoroquinolones"	"Quinolone_resistance_protein_Qnr"	"QNRB"
"15"	"MEG_6024"	"Drugs"	"Fluoroquinolones"	"Quinolone_resistance_protein_Qnr"	"QNRS"
"16"	"MEG_5479"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"17"	"MEG_5376"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE|RequiresSNPConfirmation"
"18"	"MEG_2406"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"19"	"MEG_7579"	"Drugs"	"Glycopeptides"	"VanC-type_resistance_protein"	"VANXYC"
